train_seed,tiebreak,vocab,max_dupe,unique_sids,collapsed,Recall@1,Recall@5,Recall@10,Recall@20,NDCG@1,NDCG@5,NDCG@10,NDCG@20,val_loss_best
0,base_only,1026,0,11754,347,0.0077,0.0277,0.0522,0.0881,0.0077,0.0177,0.0255,0.0346,1.2903
0,count,1032,6,12101,0,0.0062,0.0252,0.0474,0.0839,0.0062,0.0153,0.0225,0.0317,1.0993
0,centroid,1032,6,12101,0,0.0069,0.0253,0.047,0.0851,0.0069,0.0159,0.0229,0.0324,1.101
0,popularity,1032,6,12101,0,0.0061,0.0257,0.0475,0.0861,0.0061,0.0159,0.0229,0.0326,1.1002
0,semantic_strict,1037,11,12101,0,0.007,0.0258,0.048,0.0858,0.007,0.0163,0.0234,0.0329,1.1004
1,base_only,1026,0,11754,347,0.0057,0.0267,0.05,0.0855,0.0057,0.0161,0.0235,0.0324,1.2972
1,count,1032,6,12101,0,0.0065,0.0258,0.0469,0.0817,0.0065,0.0159,0.0226,0.0314,1.1091
1,centroid,1032,6,12101,0,0.0064,0.0272,0.0466,0.0831,0.0064,0.0166,0.0228,0.032,1.1129
1,popularity,1032,6,12101,0,0.0068,0.0254,0.0469,0.0851,0.0068,0.0161,0.023,0.0326,1.1145
1,semantic_strict,1037,11,12101,0,0.0063,0.0256,0.0476,0.0847,0.0063,0.0159,0.023,0.0323,1.1026
2,base_only,1026,0,11754,347,0.006,0.0277,0.0488,0.0859,0.006,0.0166,0.0233,0.0327,1.3023
2,count,1032,6,12101,0,0.0058,0.0212,0.0429,0.0816,0.0058,0.0134,0.0203,0.0301,1.1158
2,centroid,1032,6,12101,0,0.0056,0.0246,0.0449,0.082,0.0056,0.0151,0.0216,0.0309,1.1213
2,popularity,1032,6,12101,0,0.006,0.0244,0.047,0.0815,0.006,0.015,0.0222,0.0308,1.1145
2,semantic_strict,1037,11,12101,0,0.0068,0.0275,0.0478,0.0831,0.0068,0.0171,0.0236,0.0325,1.1025
